t,q0,q1,q2,q3,b1,b2,b3
1.4800000191,0.9999932051,0.0029766564,0.0019701272,0.0009875391,0.0001352961,-0.0000348102,-0.0003204075
1.4900000095,0.9999919534,0.0030404106,0.0022350347,0.0014114178,0.0001268000,-0.0000672374,-0.0003694696
1.5000000000,0.9999930859,-0.0001190704,0.0010427326,0.0035713427,0.0005095898,0.0000773625,-0.0006293474
1.5099999905,0.9999934435,-0.0013823381,0.0005927031,0.0032988326,0.0006624665,0.0001303137,-0.0005935326
1.5199999809,0.9999936223,-0.0019563125,0.0004912040,0.0029605119,0.0007318208,0.0001447632,-0.0005517139
1.5299999714,0.9999923706,-0.0015192367,0.0024125173,0.0026674066,0.0006784312,-0.0000869929,-0.0005147105
1.5399999619,0.9999935627,-0.0020854606,0.0010080280,0.0027407124,0.0007477787,0.0000813956,-0.0005208007
1.5499999523,0.9999920130,-0.0021381355,0.0015480871,0.0030078266,0.0007539484,0.0000173187,-0.0005526745
1.5599999428,0.9999937415,-0.0020085119,0.0014989354,0.0025211461,0.0007368376,0.0000252623,-0.0004920388
1.5700000525,0.9999955893,-0.0013755631,0.0021245587,0.0015426094,0.0006589317,-0.0000483173,-0.0003735335
1.5800000429,0.9999963045,-0.0015332124,0.0015168716,0.0016803042,0.0006768896,0.0000264497,-0.0003892570
1.5900000334,0.9999933839,-0.0021309799,0.0010857810,0.0027528526,0.0007470375,0.0000800427,-0.0005176683
1.6000000238,0.9999917746,-0.0007149591,0.0013742602,0.0037490011,0.0005765950,0.0000492695,-0.0006383277
1.6100000143,0.9999937415,0.0008171345,0.0020243234,0.0027949451,0.0003922731,-0.0000269297,-0.0005242851
1.6200000048,0.9999910593,0.0013848711,0.0024417327,0.0031809125,0.0003204141,-0.0000760168,-0.0005689644
1.6299999952,0.9999887943,0.0015508144,0.0025765358,0.0036604218,0.0002989924,-0.0000913453,-0.0006263638
1.6399999857,0.9999846220,0.0026584510,0.0041028475,0.0026417244,0.0001612893,-0.0002743691,-0.0005026459
1.6499999762,0.9999891520,0.0015646575,0.0018667593,0.0039911140,0.0002939786,-0.0000029912,-0.0006636732
1.6599999666,0.9999905229,0.0022054480,0.0024919377,0.0027957961,0.0002163378,-0.0000769687,-0.0005173443
1.6699999571,0.9999889135,0.0025800432,0.0030147221,0.0025492837,0.0001726099,-0.0001411716,-0.0004845119
1.6799999475,0.9999880195,0.0029447787,0.0032905713,0.0021391774,0.0001291743,-0.0001748141,-0.0004319153
1.6900000572,0.9999895096,0.0014936137,0.0013093621,0.0041438993,0.0003058194,0.0000637082,-0.0006737167
1.7000000477,0.9999957085,-0.0019282391,-0.0012134818,0.0018708964,0.0007195194,0.0003686282,-0.0003990938
1.7100000381,0.9999940991,-0.0030896268,-0.0015213854,-0.0001057601,0.0008585560,0.0004048790,-0.0001584746
1.7200000286,0.9999936223,-0.0025217705,-0.0002224968,-0.0025287233,0.0007903884,0.0002472058,0.0001357164
1.7300000191,0.9999827147,-0.0047352626,-0.0034629514,-0.0004795913,0.0010579543,0.0006418623,-0.0001100013
1.7400000095,0.9999753833,-0.0058708391,-0.0037734045,0.0008221072,0.0011924116,0.0006801014,-0.0002687824
1.7500000000,0.9999832511,-0.0045660511,-0.0027237190,-0.0023009521,0.0010356054,0.0005515182,0.0001086608
1.7599999905,0.9999853373,-0.0042796554,-0.0022783366,-0.0024214003,0.0010006266,0.0004984456,0.0001228446
1.7699999809,0.9999794960,-0.0051904554,-0.0035778568,-0.0011285765,0.0011073045,0.0006555414,-0.0000321519
1.7799999714,0.9999695420,-0.0063138218,-0.0045591830,0.0004659510,0.0012416841,0.0007758994,-0.0002237465
1.7899999619,0.9999709725,-0.0063588871,-0.0042036511,0.0002851612,0.0012460812,0.0007335278,-0.0002029513
1.7999999523,0.9999829531,-0.0054841968,-0.0001760103,0.0020036763,0.0011372971,0.0002505038,-0.0004102115
1.8099999428,0.9999881387,-0.0041941530,0.0020750833,0.0013877471,0.0009829085,-0.0000200150,-0.0003350934
1.8200000525,0.9999817014,-0.0049433387,0.0012971991,0.0032626544,0.0010734559,0.0000751265,-0.0005603459
1.8300000429,0.9999786019,-0.0051555769,0.0013749298,0.0037841967,0.0010985263,0.0000673537,-0.0006237387
1.8400000334,0.9999803901,-0.0045536663,0.0027109245,0.0033501643,0.0010242010,-0.0000925291,-0.0005732141
1.8500000238,0.9999858737,-0.0040515265,0.0025879936,0.0023120141,0.0009644342,-0.0000778246,-0.0004462031
1.8600000143,0.9999884963,-0.0035960134,0.0027500542,0.0016356432,0.0009081408,-0.0000952129,-0.0003649927
1.8700000048,0.9999879599,-0.0020146461,0.0044773174,-0.0003795297,0.0007157952,-0.0003021518,-0.0001227545
1.8799999952,0.9999897480,-0.0020178366,0.0040713558,0.0000434298,0.0007143679,-0.0002516290,-0.0001727937
1.8899999857,0.9999927878,-0.0022176707,0.0030704287,0.0000238781,0.0007399062,-0.0001304527,-0.0001695595
1.8999999762,0.9999933243,-0.0007980485,0.0035359028,-0.0004334570,0.0005696707,-0.0001860310,-0.0001137561
1.9099999666,0.9999961853,-0.0011209376,0.0023853113,0.0008956526,0.0006085736,-0.0000477736,-0.0002721982
1.9199999571,0.9999936223,-0.0009698017,0.0030980338,0.0015342494,0.0005896624,-0.0001328779,-0.0003479970
1.9299999475,0.9999948144,-0.0010474941,0.0026260335,0.0015595574,0.0005988393,-0.0000755128,-0.0003499931
1.9400000572,0.9999891520,-0.0023820265,0.0014334871,0.0037533538,0.0007585937,0.0000687986,-0.0006128980
1.9500000477,0.9999922514,-0.0020133401,0.0019591372,0.0027767136,0.0007115633,0.0000067601,-0.0004955640
1.9600000381,0.9999920130,-0.0022306682,0.0015684592,0.0029529922,0.0007378858,0.0000540850,-0.0005139725
1.9700000286,0.9999942183,-0.0015565185,0.0023492002,0.0019030541,0.0006562778,-0.0000384838,-0.0003868742
1.9800000191,0.9999945760,-0.0009245978,0.0029637483,0.0011311038,0.0005778465,-0.0001113677,-0.0002945998
1.9900000095,0.9999913573,-0.0000510363,0.0041553606,0.0004097442,0.0004722430,-0.0002543764,-0.0002068331
2.0000000000,0.9999856353,0.0008782871,0.0052690669,0.0004898709,0.0003591899,-0.0003877970,-0.0002157080
2.0099999905,0.9999831319,0.0014910073,0.0056124981,0.0002396430,0.0002854748,-0.0004274748,-0.0001859872
2.0199999809,0.9999796152,0.0017758999,0.0061152112,0.0005552270,0.0002497329,-0.0004876372,-0.0002217345
2.0299999714,0.9999762774,0.0020937582,0.0065484820,0.0005038086,0.0002112996,-0.0005365721,-0.0002136467
2.0399999619,0.9999843836,0.0013292489,0.0052299672,0.0014830139,0.0003040890,-0.0003769174,-0.0003318465
2.0499999523,0.9999811053,0.0014759791,0.0058128564,0.0013880855,0.0002857934,-0.0004464209,-0.0003202755
2.0599999428,0.9999706745,0.0026337919,0.0071987668,-0.0002182343,0.0001443789,-0.0006111567,-0.0001276405
2.0699999332,0.9999703765,0.0026595641,0.0072307792,0.0002123010,0.0001416392,-0.0006129928,-0.0001794472
2.0799999237,0.9999683499,0.0023903889,0.0074890945,0.0012307743,0.0001749415,-0.0006428884,-0.0002988246
2.0899999142,0.9999791384,0.0016842796,0.0060202898,0.0016477345,0.0002585534,-0.0004663363,-0.0003465080
2.0999999046,0.9999952316,0.0006955460,0.0029594260,0.0005464996,0.0003780103,-0.0000980336,-0.0002146521
2.1099998951,0.9999985695,-0.0003273798,0.0013799208,0.0009163375,0.0005007664,0.0000903093,-0.0002571969
2.1199998856,0.9999893904,-0.0026504465,-0.0012356867,0.0035534168,0.0007788353,0.0004020861,-0.0005709589
2.1300001144,0.9999824762,-0.0036792988,-0.0018921093,0.0042451238,0.0009026700,0.0004821218,-0.0006538009
2.1400001049,0.9999830127,-0.0039305696,-0.0022706031,0.0036777235,0.0009342413,0.0005268839,-0.0005839484
2.1500000954,0.9999923706,-0.0030541003,-0.0009003312,0.0022929865,0.0008286963,0.0003624853,-0.0004158832
2.1600000858,0.9999876618,-0.0035607067,-0.0016694091,0.0030430211,0.0008878736,0.0004546411,-0.0005041992
2.1700000763,0.9999973774,-0.0018129279,0.0010358405,0.0009892777,0.0006771444,0.0001297480,-0.0002580285
2.1800000668,0.9999935031,-0.0024265093,0.0004881427,0.0026458041,0.0007501441,0.0001967021,-0.0004550478
2.1900000572,0.9999920130,-0.0028417839,-0.0005567353,0.0027745443,0.0007996838,0.0003227241,-0.0004698961
2.2000000477,0.9999662638,-0.0044803172,0.0012385024,0.0067749107,0.0009931081,0.0001096497,-0.0009476349
2.2100000381,0.9999604225,-0.0044732918,0.0030691617,0.0070619420,0.0009902314,-0.0001070930,-0.0009844308
2.2200000286,0.9999574423,-0.0041639968,0.0043678172,0.0069819083,0.0009528316,-0.0002609128,-0.0009743309
2.2300000191,0.9999654293,-0.0036378105,0.0045908466,0.0059058121,0.0008896365,-0.0002860260,-0.0008445143
2.2400000095,0.9999634624,-0.0018345781,0.0072841598,0.0040935902,0.0006702812,-0.0006069285,-0.0006290940
2.2500000000,0.9999689460,-0.0010931842,0.0071690958,0.0030960781,0.0005811135,-0.0005908824,-0.0005094698
2.2599999905,0.9999713302,-0.0017778779,0.0059849331,0.0043050931,0.0006625788,-0.0004484439,-0.0006528244
2.2699999809,0.9999734759,-0.0018122136,0.0057246694,0.0041396036,0.0006669133,-0.0004174982,-0.0006324494
2.2799999714,0.9999701381,-0.0022049320,0.0055683563,0.0048968070,0.0007148994,-0.0003979336,-0.0007216929
2.2899999619,0.9999645352,-0.0026351148,0.0055923015,0.0057348567,0.0007666783,-0.0003989714,-0.0008204791
2.2999999523,0.9999822378,-0.0025273776,0.0045985943,0.0028246094,0.0007516148,-0.0002787599,-0.0004732869
2.3099999428,0.9999796152,-0.0041634510,0.0023795979,0.0042149811,0.0009505016,-0.0000126430,-0.0006354512
2.3199999332,0.9999803305,-0.0041677533,0.0028724240,0.0037072483,0.0009493497,-0.0000720363,-0.0005736317
2.3299999237,0.9999877810,-0.0030228498,0.0036868486,0.0013464644,0.0008104398,-0.0001683613,-0.0002909039
