t,q0,q1,q2,q3,b1,b2,b3
1.0000000000,0.9999758262,-0.0054798779,-0.0016707636,0.0039403807,0.0011873876,0.0003726008,-0.0007225499
1.0100000000,0.9999845616,-0.0047790394,-0.0011299043,0.0026001425,0.0011019792,0.0003068074,-0.0005580734
1.0200000000,0.9999905994,-0.0038842084,0.0003103284,0.0019020163,0.0009916287,0.0001304678,-0.0004709674
1.0300000000,0.9999945182,-0.0031190152,0.0007043356,0.0008598340,0.0008962109,0.0000813671,-0.0003428495
1.0400000000,0.9999939708,-0.0033307269,-0.0005623899,0.0008052502,0.0009202940,0.0002375700,-0.0003354095
1.0500000000,0.9999883938,-0.0040439462,-0.0006434633,0.0025386503,0.0010079235,0.0002505868,-0.0005448958
1.0600000000,0.9999910726,-0.0038074666,-0.0006234760,0.0017231539,0.0009780524,0.0002491549,-0.0004454527
1.0700000000,0.9999920444,-0.0036248175,-0.0001876422,0.0016542888,0.0009549652,0.0001958687,-0.0004358107
1.0800000000,0.9999922191,-0.0036109837,-0.0003651865,0.0015456854,0.0009517794,0.0002188059,-0.0004203894
1.0900000000,0.9999863599,-0.0040764221,0.0003392184,0.0032477257,0.0010072450,0.0001347474,-0.0006268255
1.1000000000,0.9999892897,-0.0012925472,-0.0022874662,0.0038101688,0.0006668634,0.0004589237,-0.0006939630
1.1100000000,0.9999899424,0.0006768591,-0.0033052374,0.0029550658,0.0004257416,0.0005830852,-0.0005886095
1.1200000000,0.9999854998,0.0017111068,-0.0047392541,0.0019004919,0.0003012314,0.0007590551,-0.0004579438
1.1300000000,0.9999837104,0.0019227652,-0.0044502219,0.0030128804,0.0002734650,0.0007227490,-0.0005898663
1.1400000000,0.9999876998,0.0031510933,-0.0035582900,0.0014175773,0.0001241558,0.0006151230,-0.0003946531
1.1500000000,0.9999881306,0.0037574039,-0.0028078447,0.0013178089,0.0000513310,0.0005274136,-0.0003816072
1.1600000000,0.9999871827,0.0047591954,-0.0016890284,0.0003629212,-0.0000708432,0.0003918197,-0.0002638092
1.1700000000,0.9999850989,0.0039066544,-0.0034950465,0.0015246606,0.0000324858,0.0006127649,-0.0004046561
1.1800000000,0.9999862730,0.0040544402,-0.0029579646,0.0015052258,0.0000160127,0.0005487026,-0.0004007498
1.1900000000,0.9999856627,0.0041372685,-0.0032183467,0.0010952991,0.0000057149,0.0005830296,-0.0003503652
1.2000000000,0.9999979870,0.0019335481,0.0004935078,0.0002095820,0.0002770555,0.0001322396,-0.0002413074
1.2100000000,0.9999977088,0.0009666767,0.0017184760,-0.0008335734,0.0003944951,-0.0000150927,-0.0001125527
1.2200000000,0.9999988416,-0.0007279835,0.0011505753,0.0006805006,0.0006007297,0.0000540937,-0.0002982857
1.2300000000,0.9999956204,-0.0020152298,0.0008219642,0.0020056083,0.0007575064,0.0000939043,-0.0004592132
1.2400000000,0.9999959928,-0.0021569029,0.0010831617,0.0014795044,0.0007733071,0.0000630097,-0.0003938785
1.2500000000,0.9999958078,-0.0022591221,0.0011946393,0.0013614668,0.0007859902,0.0000511814,-0.0003795754
1.2600000000,0.9999931812,-0.0005991856,0.0035394093,-0.0008666706,0.0005816591,-0.0002343929,-0.0001082790
1.2700000000,0.9999955212,-0.0008139141,0.0028611628,-0.0003300329,0.0006057250,-0.0001523776,-0.0001725910
1.2800000000,0.9999901105,0.0004228688,0.0037328836,-0.0023802488,0.0004536921,-0.0002586136,0.0000771086
1.2900000000,0.9999955342,-0.0003449260,0.0028803123,-0.0007185754,0.0005473752,-0.0001539519,-0.0001252678
1.3000000000,0.9999987336,-0.0006506992,0.0014368197,0.0002121281,0.0005848522,0.0000218983,-0.0002363197
1.3100000000,0.9999981065,-0.0012407796,0.0006445230,0.0013535385,0.0006575623,0.0001183759,-0.0003747046
1.3200000000,0.9999991610,-0.0009052812,0.0007504333,0.0005433887,0.0006161122,0.0001066244,-0.0002762262
1.3300000000,0.9999990438,-0.0005190914,0.0012712137,0.0001640850,0.0005689375,0.0000426932,-0.0002287885
1.3400000000,0.9999978569,-0.0013510341,0.0003293155,0.0015337560,0.0006690863,0.0001580343,-0.0003965142
1.3500000000,0.9999994574,-0.0008127066,0.0006116994,0.0002248125,0.0006026345,0.0001247787,-0.0002394804
1.3600000000,0.9999981380,-0.0000310266,0.0018691049,-0.0004791311,0.0005060976,-0.0000291496,-0.0001542040
1.3700000000,0.9999987163,-0.0011799579,0.0000238973,0.0010837480,0.0006432673,0.0001961095,-0.0003440861
1.3800000000,0.9999995191,-0.0008537677,0.0003770735,0.0003012727,0.0006042080,0.0001531908,-0.0002489097
1.3900000000,0.9999979316,-0.0015368676,-0.0004589281,0.0012506575,0.0006868520,0.0002540528,-0.0003629692
1.4000000000,0.9999975605,-0.0001216426,0.0001862648,0.0021975986,0.0005133627,0.0001780365,-0.0004774029
1.4100000000,0.9999974190,0.0011908391,0.0009199507,0.0017022157,0.0003534014,0.0000883699,-0.0004169580
